stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price
sh600298,2021-01-07,buy,55.71015548706055,2021-01-08,59.09865173339843,0.06,0,0,0,0,150,0.0,0.0
sh600211,2021-01-07,buy,68.82572174072266,2021-01-08,72.66622280120849,0.06,0,0,0,0,150,0.0,0.0
sz002399,2021-01-07,buy,17.194021224975586,2021-01-08,17.31531874656677,0.01,0,0,0,0,150,0.0,0.0
sz000729,2021-01-07,buy,8.067010879516603,2021-01-08,8.405475282669068,0.04,0,0,0,0,150,0.0,0.0
sz002664,2021-01-07,buy,14.019314765930176,2021-01-08,14.5229722738266,0.04,0,0,0,0,150,0.0,0.0
sh600030,2021-01-07,buy,28.988386154174805,2021-01-08,29.987189025878905,0.03,0,0,0,0,150,0.0,0.0
sh600600,2021-01-07,buy,104.5257339477539,2021-01-08,108.51650428771973,0.04,0,0,0,0,150,0.0,0.0
sh600648,2021-01-07,buy,13.555322647094727,2021-01-08,13.88707908630371,0.02,0,0,0,0,150,0.0,0.0
sh600585,2021-01-07,buy,54.479896545410156,2021-01-08,56.28675115585328,0.03,0,0,0,0,150,0.0,0.0
sh600529,2021-01-07,buy,46.11114883422852,2021-01-08,48.3979532623291,0.05,0,0,0,0,150,0.0,0.0
sh600587,2021-01-07,buy,14.276811599731445,2021-01-08,14.708582072257993,0.03,0,0,0,0,150,0.0,0.0
sh600685,2021-01-07,buy,28.817005157470703,2021-01-08,31.180094747543336,0.08,0,0,0,0,150,0.0,0.0
sz002304,2021-01-07,buy,245.58755493164062,2021-01-08,259.0800178527832,0.05,0,0,0,0,150,0.0,0.0
sh603589,2021-01-07,buy,69.93442535400389,2021-01-08,76.10101940155029,0.09,0,0,0,0,150,0.0,0.0
sh600305,2021-01-07,buy,23.11303520202637,2021-01-08,24.123667659759523,0.04,0,0,0,0,150,0.0,0.0
sh600058,2021-01-07,buy,7.110970497131348,2021-01-08,7.415896856784822,0.04,0,0,0,0,150,0.0,0.0
sh600547,2021-01-07,buy,24.47163963317871,2021-01-08,25.420009822845454,0.04,0,0,0,0,150,0.0,0.0
sz300778,2021-01-07,buy,26.272676467895508,2021-01-08,26.48895616531372,0.01,0,0,0,0,150,0.0,0.0
sh600030,2021-01-07,buy,28.988386154174805,2021-01-08,29.987189025878905,0.03,0,0,0,0,150,0.0,0.0
sh600600,2021-01-07,buy,104.52571868896484,2021-01-08,108.51651947021485,0.04,0,0,0,0,150,0.0,0.0
sh600648,2021-01-07,buy,13.555323600769045,2021-01-08,13.887083830833435,0.02,0,0,0,0,150,0.0,0.0
sh600585,2021-01-07,buy,54.479896545410156,2021-01-08,56.286735973358155,0.03,0,0,0,0,150,0.0,0.0
sh600529,2021-01-07,buy,46.11114501953125,2021-01-08,48.397945671081544,0.05,0,0,0,0,150,0.0,0.0
sh600587,2021-01-07,buy,14.276811599731445,2021-01-08,14.708580174446105,0.03,0,0,0,0,150,0.0,0.0
sh600685,2021-01-07,buy,28.817005157470703,2021-01-08,31.180094747543336,0.08,0,0,0,0,150,0.0,0.0
sz002304,2021-01-07,buy,245.58755493164062,2021-01-08,259.0483471679688,0.05,0,0,0,0,150,0.0,0.0
sh603589,2021-01-07,buy,69.93442535400389,2021-01-08,76.10101940155029,0.09,0,0,0,0,150,0.0,0.0
sh600305,2021-01-07,buy,23.11303520202637,2021-01-08,24.08795083999634,0.04,0,0,0,0,150,0.0,0.0
sh600058,2021-01-07,buy,7.110970497131348,2021-01-08,7.415896856784822,0.04,0,0,0,0,150,0.0,0.0
sh600547,2021-01-07,buy,24.471637725830078,2021-01-08,25.42000792503357,0.04,0,0,0,0,150,0.0,0.0
sz300778,2021-01-07,buy,26.272674560546875,2021-01-08,26.48895236968994,0.01,0,0,0,0,150,0.0,0.0
sh600298,2021-01-07,buy,55.71040344238281,2021-01-08,59.09388822555542,0.06,0,0,0,0,150,0.0,0.0
sh600211,2021-01-07,buy,68.82573699951172,2021-01-08,72.66623039245606,0.06,0,0,0,0,150,0.0,0.0
sz002399,2021-01-07,buy,17.194021224975586,2021-01-08,17.31532254219055,0.01,0,0,0,0,150,0.0,0.0
sz000729,2021-01-07,buy,8.067011833190918,2021-01-08,8.405474333763122,0.04,0,0,0,0,150,0.0,0.0
sz002664,2021-01-07,buy,14.019316673278809,2021-01-08,14.770430812835693,0.05,0,0,0,0,150,0.0,0.0
