stock,act_day,act,target_price,sell_day,T2-sell,gain_percent,act_low,act_high,buy,at_price,EPOCH_R,sell,selling_price
sh600030,2021-01-08,buy,29.073760986328125,2021-01-11,30.11325877189636,0.04,0,0,0,0,150,0.0,0.0
sh600600,2021-01-08,buy,104.6816864013672,2021-01-11,109.39021133422851,0.04,0,0,0,0,150,0.0,0.0
sh600648,2021-01-08,buy,13.625791549682615,2021-01-11,13.961775064468384,0.02,0,0,0,0,150,0.0,0.0
sh600585,2021-01-08,buy,54.47573471069336,2021-01-11,55.275160484313965,0.01,0,0,0,0,150,0.0,0.0
sh600529,2021-01-08,buy,44.9022102355957,2021-01-11,46.58855283737183,0.04,0,0,0,0,150,0.0,0.0
sh600587,2021-01-08,buy,14.003033638000488,2021-01-11,14.449184398651125,0.03,0,0,0,0,150,0.0,0.0
sh600685,2021-01-08,buy,31.104656219482425,2021-01-11,34.023838710784915,0.09,0,0,0,0,150,0.0,0.0
sh600655,2021-01-08,buy,12.275813102722168,2021-01-11,13.069862308502195,0.06,0,0,0,0,150,0.0,0.0
sz002304,2021-01-08,buy,243.52279663085938,2021-01-11,254.37007385253904,0.04,0,0,0,0,150,0.0,0.0
sh603589,2021-01-08,buy,69.89792633056639,2021-01-11,73.93099296569824,0.06,0,0,0,0,150,0.0,0.0
sh600305,2021-01-08,buy,23.45873069763184,2021-01-11,24.476081838607787,0.04,0,0,0,0,150,0.0,0.0
sh600058,2021-01-08,buy,7.251399517059326,2021-01-11,7.362389948368072,0.02,0,0,0,0,150,0.0,0.0
sh600547,2021-01-08,buy,24.34772491455078,2021-01-11,25.084349527359013,0.03,0,0,0,0,150,0.0,0.0
sz300778,2021-01-08,buy,25.249666213989247,2021-01-11,25.581282081604005,0.01,0,0,0,0,150,0.0,0.0
sh600298,2021-01-08,buy,56.80752563476562,2021-01-11,59.78317729949951,0.05,0,0,0,0,150,0.0,0.0
sh600211,2021-01-08,buy,66.36937713623047,2021-01-11,68.71379421234131,0.04,0,0,0,0,150,0.0,0.0
sz002399,2021-01-08,buy,16.727754592895508,2021-01-11,17.284376821517945,0.03,0,0,0,0,150,0.0,0.0
sz000729,2021-01-08,buy,7.782015800476074,2021-01-11,7.973225851058959,0.02,0,0,0,0,150,0.0,0.0
sz002664,2021-01-08,buy,13.747934341430664,2021-01-11,14.126142654418945,0.03,0,0,0,0,150,0.0,0.0
